Performance_ID,Campaign_ID,Date,Impressions,Clicks,Conversions,Revenue,Spend
1,191,2025-11-26,70234,10127,1806,374576.6,32505.38
2,73,2025-02-15,197027,6553,231,51786.19,5827.4
3,67,2024-10-04,12987,1302,155,49430.88,4512.19
4,5,2024-11-29,134701,6157,464,117456.0,7339.25
5,125,2025-02-08,7818,392,17,3209.26,1022.02
6,203,2024-04-13,59128,2994,200,39357.61,7790.83
7,15,2024-05-05,72879,4499,410,85181.66,2565.16
8,151,2024-04-11,110759,10005,1504,490384.11,47516.95
9,216,2024-05-01,143920,10227,1089,68634.08,27649.42
10,233,2024-02-08,32214,1512,19,4128.95,759.21
11,132,2025-10-23,31486,536,9,2864.92,547.45
12,180,2024-06-09,106435,16977,2558,571968.25,69731.56
13,197,2025-07-15,94749,16577,1796,451195.54,70595.91
14,215,2024-10-01,94616,6052,472,132439.35,6102.74
15,148,2024-07-30,118535,9831,713,279004.02,16467.12
16,165,2025-03-31,123117,2214,94,6110.01,3225.03
17,159,2025-05-12,171475,6824,377,134987.9,8829.64
18,235,2025-04-20,107022,8418,1012,135182.46,6057.69
19,252,2025-08-09,70309,11423,1316,211971.13,40018.19
20,116,2025-07-10,105799,4530,166,59256.16,4215.36
21,157,2025-11-27,102755,2845,218,48944.62,5905.01
22,193,2024-02-03,126386,1687,17,3089.59,902.47
23,112,2024-08-14,122509,6810,354,45876.98,8649.22
24,82,2024-02-27,56938,2588,77,14625.5,2067.15
25,2,2024-11-14,159111,4854,258,49350.1,12181.64
26,293,2024-12-12,180352,21952,2311,458739.59,90906.07
27,97,2025-08-24,114708,8511,645,59209.61,14486.49
28,275,2024-10-14,122641,12169,1570,574236.35,25985.03
29,5,2025-10-09,102406,4096,197,68299.05,3474.73
30,45,2024-02-03,110132,11206,790,290889.65,2658.33
31,10,2025-11-27,174734,18147,3074,547197.14,42959.72
32,78,2025-05-27,58805,3101,359,122426.72,2463.54
33,297,2024-08-30,164944,10787,970,217249.45,26546.8
34,147,2025-12-06,33121,2172,180,61219.16,955.22
35,103,2025-08-19,103693,7868,894,67283.93,38024.12
36,62,2025-08-15,91587,3971,83,31954.82,3317.77
37,73,2025-02-26,49549,2063,78,10514.51,1112.41
38,52,2024-04-03,180515,2958,73,10632.6,3467.37
39,136,2024-05-01,176263,11314,1075,312283.71,10127.83
40,45,2025-02-26,127873,10064,515,46612.99,5279.37
41,274,2024-09-19,161667,8890,464,30099.04,25447.28
42,244,2025-06-01,124036,1547,30,4728.35,1323.22
43,136,2024-11-22,11265,580,49,7914.81,406.27
44,163,2024-12-19,112471,8819,273,14973.08,21351.32
45,6,2025-11-19,50290,2002,78,7189.02,3392.14
46,225,2025-05-23,33202,965,32,7328.11,1306.93
47,269,2025-06-01,75443,3848,223,50138.64,1414.7
48,291,2024-02-17,39625,1786,85,11016.71,1951.15
49,71,2024-08-22,67205,4177,436,50746.45,756.11
50,240,2024-05-27,58246,3547,266,73439.46,3995.8
51,3,2024-07-07,158996,6626,212,23577.08,3433.18
52,97,2024-02-26,110241,3210,154,7849.76,9186.89
53,185,2024-08-17,81337,7539,813,251279.84,3873.76
54,49,2024-11-20,145941,2945,105,27492.97,2807.65
55,159,2025-10-23,47968,2096,150,38518.62,5412.31
56,174,2025-07-12,146150,16150,2366,874036.38,5514.83
57,265,2025-12-04,77705,3883,135,8154.73,6509.53
58,68,2025-04-19,63383,819,29,2423.04,1014.61
59,276,2024-12-11,144062,4195,97,29911.81,2427.66
60,91,2025-08-01,96578,3903,71,10719.05,4843.81
61,265,2024-04-18,99028,6266,499,189844.76,7471.27
62,252,2024-11-15,31949,2980,449,154934.24,7897.57
63,12,2024-05-19,117778,3916,391,147425.17,6074.7
64,75,2025-05-30,40669,1064,45,5435.39,2306.68
65,168,2025-07-07,7599,954,109,9900.29,4664.04
66,220,2024-07-16,99044,3392,94,24222.11,3715.4
67,181,2024-03-28,185717,7167,447,152590.92,9406.9
68,165,2025-12-22,29594,678,12,1910.33,970.93
69,39,2025-07-06,32872,3171,351,135816.45,2466.41
70,187,2025-07-13,89100,9176,561,32298.11,5278.16
71,36,2024-03-12,186859,12328,870,339856.56,31773.22
72,83,2025-03-29,188826,20708,1036,279047.86,13590.22
73,241,2025-02-12,99722,3074,274,107677.03,4576.23
74,138,2024-02-13,47243,3449,211,32594.52,6984.76
75,61,2025-08-21,14564,943,21,7311.13,2049.81
76,90,2025-08-19,74915,5547,769,294261.22,10292.78
77,16,2024-11-16,114541,3665,88,31167.64,4704.92
78,18,2024-11-05,110629,4093,83,14392.08,5515.29
79,88,2024-06-30,176741,19184,3003,461273.39,82414.27
80,263,2024-02-29,86362,3458,278,41137.64,1807.72
81,211,2024-09-02,5055,120,1,88.04,119.48
82,200,2024-09-08,16970,886,67,14667.65,1132.54
83,17,2024-12-11,84178,8085,853,52490.84,15044.47
