Conversion_ID,Customer_ID,Campaign_ID,Conversion_Date,Revenue
1,17677,233,2024-01-23,397.49
2,49426,132,2025-09-08,909.39
3,16755,296,2025-02-19,127.76
4,13447,203,2024-07-08,82.16
5,48564,143,2024-02-10,466.01
6,33329,148,2025-07-12,274.24
7,35298,56,2025-10-25,39.13
8,45288,20,2024-07-10,427.19
9,1894,40,2024-11-26,491.02
10,1706,85,2025-05-23,175.57
11,15829,168,2024-11-30,505.74
12,1094,202,2025-09-27,89.76
13,19870,169,2024-07-25,944.76
14,46829,212,2024-05-29,292.96
15,11546,231,2025-06-14,72.85
16,42758,142,2025-01-25,130.33
17,21969,56,2025-03-25,478.04
18,36900,264,2025-05-11,213.14
19,9786,144,2024-06-11,617.31
20,39446,219,2025-11-03,368.93
21,21235,63,2025-10-10,627.06
22,42834,147,2024-11-24,324.8
23,49515,101,2025-02-13,169.25
24,13560,231,2024-12-18,317.74
25,2800,224,2025-01-09,497.53
26,45030,284,2024-03-03,294.12
27,31475,92,2025-04-13,136.84
28,10951,116,2025-02-28,477.62
29,11267,124,2025-12-02,400.06
30,30441,113,2024-11-10,31.79
31,20972,5,2025-09-03,488.6
32,47168,116,2024-08-08,815.89
33,37896,188,2024-08-26,63.05
34,27621,178,2024-01-01,571.34
35,46523,106,2024-08-09,176.06
36,13310,106,2025-08-29,273.52
37,39714,269,2025-08-21,360.62
38,21809,268,2025-04-27,605.29
39,40958,128,2025-11-27,173.64
40,2081,114,2025-07-25,432.28
41,42589,174,2024-04-05,146.2
42,38186,73,2025-03-23,376.59
43,32918,71,2024-12-26,634.45
44,41071,140,2025-07-14,664.75
45,36585,286,2025-12-21,124.32
46,45098,226,2024-09-26,627.79
47,48190,176,2024-03-19,468.17
48,11497,128,2025-03-20,457.55
49,38565,140,2025-07-29,242.06
50,17275,228,2024-09-30,330.55
51,46686,21,2024-04-15,416.28
52,18808,270,2024-11-03,376.21
53,4236,288,2024-11-10,316.16
54,15027,119,2024-08-23,412.43
55,11352,199,2025-12-13,358.24
56,45685,65,2024-12-18,513.43
57,4383,298,2025-07-31,165.13
58,20543,214,2024-08-30,229.36
59,20785,27,2025-06-28,129.22
60,33517,114,2024-10-11,244.16
61,37371,162,2024-08-14,302.33
62,21194,189,2024-11-29,378.35
63,21831,231,2025-07-20,823.17
64,18393,6,2025-06-27,257.4
65,12140,114,2025-01-28,65.93
66,18212,49,2024-05-28,452.34
67,23478,1,2024-02-17,39.92
68,28243,191,2025-04-19,308.3
69,7050,39,2025-02-26,1463.87
70,28403,106,2024-02-05,154.06
71,26642,279,2024-02-14,886.18
72,101,165,2025-08-29,514.33
73,32307,66,2025-01-24,694.94
74,34554,87,2024-10-14,477.19
75,29291,62,2025-10-31,438.63
76,19023,128,2024-12-18,1859.33
77,10019,273,2025-03-04,286.54
78,26720,3,2025-07-13,372.96
79,9197,125,2025-04-15,318.81
80,46166,234,2025-11-09,416.46
81,44313,194,2025-11-03,781.62
82,5882,294,2025-08-16,394.17
83,41746,175,2024-08-09,360.96
84,26,43,2024-11-17,228.65
85,27691,224,2025-03-03,338.43
86,48817,55,2024-09-13,211.72
87,11881,98,2024-06-23,166.61
88,31169,16,2025-02-05,154.17
89,17483,29,2025-06-26,612.77
90,26394,27,2025-09-14,41.1
91,47344,48,2024-12-25,476.18
92,45245,238,2025-03-08,172.27
93,42617,133,2024-11-03,603.48
94,34411,5,2024-02-24,259.18
95,40896,138,2025-11-01,652.16
96,1582,277,2024-07-05,335.23
97,19135,253,2025-04-18,253.89
98,5628,243,2025-06-10,460.75
99,30845,300,2025-11-27,355.39
100,35604,181,2025-12-17,45.32
101,19989,30,2025-01-12,134.33
102,7720,176,2024-10-11,476.3
103,14213,148,2024-12-24,42.98
104,45420,258,2025-03-30,329.48
105,14878,64,2025-04-19,225.51
106,11900,2,2024-07-26,276.19
107,47574,92,2025-10-28,192.14
108,45485,285,2025-07-22,154.25
109,18669,238,2024-11-24,334.09
110,48090,173,2025-01-04,454.26
